Chat,ID do usuário,Hora,Mensagem
PDS,6,2024-03-14 01:04:56,Por mim pode ser em java
PDS,6,2024-03-14 00:49:53,Agr os frameworks n sei pq n programo mt em Java kk
PDS,6,2024-03-14 00:49:22,Se n me engano [Mirna](tg://user?id=6566061718) falou que vai ser em Java msm
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-12 22:17:21,trabalho com java na sinfo e tenho bagagem pra dizer isso kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-12 22:17:07,e java é uma bosta mesmo
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-12 21:12:26,Usou javafx?
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-12 02:33:08,"Boa noite pessoal!
Consegui somente enviar agora o projeto, foi suado, apanhei demais no JavaFX, mas deu certo.
Talvez se o professor utilizasse o NetBeans, fosse um pouco melhor."
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-11 00:23:35,"Eu usei tbm, com o javaFX 16, não tive problema nessa parte aí"
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-11 00:14:41,"Sempre reclamei de Java, mas agora, depois desse trabalho, vou falar mal com muito mais consciência."
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-10 23:43:12,"Rapaz, parecia bem mais trabalhoso o swing comparado com javafx, nem cogitei"
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-10 23:42:24,"Ah, eu n usei o javafx"
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-10 23:41:51,Coloquei um vídeo que ensina a configurar o eclipse pra funcionar com javaFX
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-04-06 14:24:52,"A princípio, não, peguei de java.util.queue"
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-03-26 12:49:25,Só sei que eu passei mais de 4 horas tentando instalar esse JavaFx e não consegui kkkkk
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-03-25 12:13:23,"Aula01: Apresentação da disciplina e Introdução a OO, Classes e Objetos (19/01/2021 - 19/01/2021)
Aula02: Criação de Classes e Objetos (21/01/2021 - 21/01/2021)
Aula03: Prática (primeiros códigos) (22/01/2021 - 22/01/2021)
Aula04: Coleções, TADs, Javadoc e libs (26/01/2021 - 26/01/2021)
Aula05: Design de classes (28/01/2021 - 28/01/2021)
Aula06: Prática de Coleções (29/01/2021 - 29/01/2021)
Aula07: Conceito de Herança (02/02/2021 - 02/02/2021)
Aula08: Conceito de Polimorfismo (04/02/2021 - 04/02/2021)
Aula09: Prática de Herança e Polimorfismo (05/02/2021 - 05/02/2021)
Aula10: Prática de Herança (av – 1ª unidade) (09/02/2021 - 09/02/2021)
Aula11: Introdução a IDE (Eclipse) (11/02/2021 - 11/02/2021)
Aula12: Prática de Polimorfismo (av – 1ª unidade) (18/02/2021 - 18/02/2021)
Aula13: Conceito de Classe Abstrata e Interface (23/02/2021 - 23/02/2021)
Aula14: Organização de código (pkg e java doc) (25/02/2021 - 25/02/2021)
Aula15: Prática de Classe Abstrata e Interface (26/02/2021 - 26/02/2021)
Aula16: Classe Abstrata e Interface (av – 2ª unidade) (02/03/2021 - 02/03/2021)
Aula17: Conceito de Tratamento de exceções (04/03/2021 - 04/03/2021)
Aula18: Acompanhamento de Projetos 01 (05/03/2021 - 05/03/2021)
Aula19: Prática de Tratamento de exceções (av – 2ª unidade) (09/03/2021 - 09/03/2021)
Aula20: Criação de Interface Gráfica (11/03/2021 - 11/03/2021)
Aula21: Acompanhamento de Projetos 02 (12/03/2021 - 12/03/2021)
Aula22: Tratamento de eventos (GUI) (16/03/2021 - 16/03/2021)
Aula23: Acompanhamento de Projetos 03 (assíncrona) (18/03/2021 - 18/03/2021)
Aula24: Acompanhamento de Projetos 04 (assíncrona) (19/03/2021 - 19/03/2021)
Aula25: Java FX 01 (23/03/2021 - 23/03/2021)
Aula26: Java FX 02 (25/03/2021 - 25/03/2021)
Aula27: Prática de Interface Gráfica (26/03/2021 - 26/03/2021)
Aula28: Classes Genéricas e Teste unitário (30/03/2021 - 30/03/2021)
Aula29: Acompanhamento de Projetos 05 (06/04/2021 - 06/04/2021)
Aula30: Acompanhamento de Projetos 06 (08/04/2021 - 08/04/2021)
Aula31: Apresentação de Projetos 01 (13/04/2021 - 13/04/2021)
Aula32: Apresentação de Projetos 02 (15/04/2021 - 15/04/2021)
Aula33: Apresentação de Projetos 03 (20/04/2021 - 20/04/2021)
Aula34: Apresentação de Projetos 04 (22/04/2021 - 22/04/2021)
Aula35: Apresentação de Projetos 05 (27/04/2021 - 27/04/2021)
Aula36: Prova de reposição (29/04/2021 - 29/04/2021)"
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-03-04 11:58:07,tranquilo então. tu gosta de java? no teu trampo tu programa em que?
LP2/35M34/T01/2020.2/JOÃOCARLOS,6,2021-02-25 13:06:14,"Não pode prestar tanta atenção, tive que dirigir numa parte.
Mas era sobre segmentação de programas em pacotes, distribuição de pacotes e documentação com javadoc."
